               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.036138,            0.013714,           0.0036177,             0.96956,             0.95552,             0.97137,             0.52276,            0.028592,            0.010983,           0.0015005,            0.002971,            0.002971,            0.002971
                  73,            0.036785,            0.013693,           0.0045491,             0.97021,             0.95234,             0.96945,             0.51369,            0.029402,            0.011137,            0.001543,            0.002872,            0.002872,            0.002872
                  74,            0.037346,            0.013622,           0.0047695,             0.96187,             0.95704,             0.97328,             0.51641,            0.029879,             0.01099,           0.0015326,            0.002773,            0.002773,            0.002773
                  75,            0.034578,            0.013793,           0.0035508,             0.96738,             0.95329,             0.97008,             0.51559,            0.028208,            0.010914,           0.0015199,            0.002674,            0.002674,            0.002674
                  76,            0.034069,            0.013898,             0.00422,             0.96932,               0.954,             0.96908,             0.51084,            0.028251,            0.011023,           0.0014258,            0.002575,            0.002575,            0.002575
                  77,            0.034419,            0.013662,           0.0041385,             0.96886,             0.95712,             0.97248,             0.52392,            0.027979,            0.010871,           0.0013826,            0.002476,            0.002476,            0.002476
                  78,            0.034617,             0.01355,           0.0037338,             0.97069,              0.9612,             0.97449,             0.52957,            0.027459,             0.01082,           0.0012685,            0.002377,            0.002377,            0.002377
                  79,            0.033798,            0.013839,            0.003393,             0.96949,             0.96432,             0.97523,             0.52983,            0.028897,            0.010796,           0.0011972,            0.002278,            0.002278,            0.002278
                  80,             0.03442,            0.013382,            0.004434,             0.97251,             0.96346,             0.97507,             0.52961,            0.028203,            0.010822,           0.0012349,            0.002179,            0.002179,            0.002179
                  81,            0.035129,            0.013679,           0.0041567,             0.97749,             0.95697,             0.97377,             0.53494,            0.027465,            0.010843,           0.0011599,             0.00208,             0.00208,             0.00208
                  82,            0.033914,             0.01353,           0.0031167,             0.97238,             0.96069,             0.97535,             0.52793,            0.027184,            0.010845,           0.0012553,            0.001981,            0.001981,            0.001981
                  83,            0.032695,            0.013007,           0.0032202,             0.97462,             0.96171,             0.97451,             0.52881,            0.027153,            0.010855,           0.0011606,            0.001882,            0.001882,            0.001882
                  84,            0.033677,            0.013731,           0.0035894,              0.9748,              0.9637,             0.97542,             0.53434,            0.027819,            0.010699,           0.0010603,            0.001783,            0.001783,            0.001783
                  85,            0.032299,            0.013083,           0.0038175,             0.97645,             0.96036,             0.97407,             0.53618,            0.026786,             0.01079,           0.0010499,            0.001684,            0.001684,            0.001684
                  86,             0.03366,            0.013451,           0.0045988,              0.9767,             0.96629,             0.97769,             0.53314,            0.026517,            0.010722,           0.0010283,            0.001585,            0.001585,            0.001585
                  87,            0.031252,            0.013517,           0.0030709,             0.97705,             0.96037,             0.97609,             0.53845,            0.026831,            0.010709,           0.0010827,            0.001486,            0.001486,            0.001486
                  88,            0.032941,             0.01316,           0.0037795,             0.97401,             0.96283,             0.97686,              0.5485,            0.026741,            0.010694,           0.0010747,            0.001387,            0.001387,            0.001387
                  89,            0.033482,            0.013103,           0.0036116,             0.97927,             0.96018,             0.97555,             0.54195,            0.026164,            0.010738,           0.0010349,            0.001288,            0.001288,            0.001288
                  90,            0.031868,            0.013405,           0.0025216,             0.97867,             0.96388,             0.97609,              0.5411,            0.025964,            0.010709,          0.00094848,            0.001189,            0.001189,            0.001189
                  91,            0.030796,            0.013006,           0.0029011,             0.97866,             0.96276,             0.97754,             0.54285,             0.02537,            0.010683,          0.00093159,             0.00109,             0.00109,             0.00109
                  92,            0.033399,            0.013324,           0.0028847,             0.97748,             0.96415,             0.97779,             0.54769,            0.025683,            0.010638,          0.00092334,            0.000991,            0.000991,            0.000991
                  93,            0.031853,            0.013453,           0.0028098,             0.97737,             0.96286,             0.97847,             0.54845,            0.025843,            0.010572,          0.00093007,            0.000892,            0.000892,            0.000892
                  94,            0.030603,             0.01339,           0.0027248,             0.97962,             0.96494,             0.97846,             0.54718,            0.025508,            0.010591,           0.0009185,            0.000793,            0.000793,            0.000793
                  95,            0.031848,            0.012867,           0.0029002,             0.97994,             0.96474,             0.97856,             0.54695,            0.025307,            0.010585,          0.00090852,            0.000694,            0.000694,            0.000694
                  96,            0.031669,            0.013509,            0.003108,             0.97967,             0.96471,             0.97867,             0.55199,            0.024739,            0.010572,          0.00089339,            0.000595,            0.000595,            0.000595
                  97,            0.031045,            0.013286,           0.0025484,             0.97883,             0.96358,             0.97811,             0.55149,            0.024949,            0.010584,          0.00086877,            0.000496,            0.000496,            0.000496
                  98,            0.030679,            0.013229,            0.002707,             0.98019,             0.96419,              0.9783,             0.55304,            0.024906,            0.010567,           0.0008358,            0.000397,            0.000397,            0.000397
                  99,            0.029128,              0.0131,            0.003285,              0.9794,             0.96611,             0.97848,             0.55143,            0.024876,            0.010541,          0.00081081,            0.000298,            0.000298,            0.000298
